❤	1.9	1.13578	[3, 2, 1, 3, 1, 4, 2, 0, 1, 2]
💔	-3.0	1.0	[-3, -3, -4, -3, -4, -1, -2, -2, -4, -4]
😂	2.7	0.64031	[2, 1, 3, 3, 3, 3, 3, 3, 3, 3]
😃	2.3	0.45826	[3, 2, 2, 2, 2, 3, 2, 2, 2, 3]
😄	2.0	1.18322	[2, 2, 1, 1, 1, 1, 4, 3, 4, 1]
😆	0.4	1.42829	[1, 1, 2, 1, -1, -2, 1, 2, -2, 1]
😉	0.8	1.249	[2, -1, 2, 1, 1, 1, -2, 2, 1, 1]
😘	2.5	1.0247	[3, 2, 1, 1, 2, 3, 4, 3, 4, 2]
😜	1.7	0.45826	[2, 2, 1, 2, 2, 1, 1, 2, 2, 2]
😞	-1.6	0.4899	[-1, -2, -1, -2, -2, -1, -2, -1, -2, -2]
😠	-2.7	0.64031	[-2, -3, -2, -3, -3, -2, -4, -2, -3, -3]
😢	-2.4	0.66332	[-2, -1, -2, -3, -2, -3, -3, -3, -2, -3]
😣	-1.3	0.45826	[-1, -2, -1, -2, -2, -1, -1, -1, -1, -1]
😳	-0.2	1.83303	[-2, -1, 0, 0, -1, 1, 4, -3, 1, -1]
😵	-0.4	1.0198	[-1, 0, -1, 0, 0, -2, -1, 2, -1, 0]
🙆	2.3	1.00499	[2, 0, 3, 1, 3, 3, 2, 3, 3, 3]
😇	1.6	0.91652	[0, 1, 3, 1, 2, 1, 2, 1, 2, 3]
😎	1.9	0.7	[2, 2, 2, 1, 1, 2, 2, 3, 3, 1]
😕	-1.4	0.66332	[-1, -1, -1, -1, -1, -1, -3, -2, -2, -1]
😛	1.4	0.8	[3, 1, 0, 2, 1, 1, 2, 2, 1, 1]
😮	-0.4	1.35647	[2, -1, -2, 0, 1, 0, -3, 0, -1, 0]
