❤	0.4404	<3	:heart:	1.9	1.13578	[3, 2, 1, 3, 1, 4, 2, 0, 1, 2]
💔	-0.6124	</3	:broken_heart:	-3.0	1.0	[-3, -3, -4, -3, -4, -1, -2, -2, -4, -4]
😂	0.5106	:')	:joy:	2.3	0.78102	[3, 1, 3, 2, 2, 2, 2, 4, 2, 2]
😂	0.5719	:'-)	:joy:	2.7	0.64031	[2, 1, 3, 3, 3, 3, 3, 3, 3, 3]
😃	0.5106	:D	:smiley:	2.3	1.1	[4, 2, 2, 1, 2, 1, 4, 3, 3, 1]
😃	0.5106	:-D	:smiley:	2.3	0.45826	[2, 2, 3, 3, 2, 3, 2, 2, 2, 2]
😃	0.5106	=D	:smiley:	2.3	0.45826	[3, 2, 2, 2, 2, 3, 2, 2, 2, 3]
😄	0.4588	:)	:smile:	2.0	1.18322	[2, 2, 1, 1, 1, 1, 4, 3, 4, 1]
😄	0.3182	:-)	:smile:	1.3	0.45826	[1, 1, 1, 1, 2, 1, 2, 1, 2, 1]
😄	0.3818	=]	:smile:	1.6	0.8	[2, 1, 3, 1, 1, 1, 2, 3, 1, 1]
😄	0.4939	=)	:smile:	2.2	1.16619	[4, 2, 3, 3, 2, 1, 1, 4, 1, 1]
😄	0.4939	:]	:smile:	2.2	1.16619	[3, 1, 1, 1, 3, 1, 4, 2, 2, 4]
😆	0.1027	>:)	:laughing:	0.4	1.42829	[1, 1, 2, 1, -1, -2, 1, 2, -2, 1]
😆	0.0258	>;)	:laughing:	0.1	1.04403	[-1, 1, 0, -1, 2, 0, -1, 1, 1, -1]
😆	-0.1027	>:-)	:laughing:	-0.4	1.68523	[1, 2, 1, -2, -2, -1, -1, -3, -1, 2]
😉	0.2263	;)	:wink:	0.9	1.04403	[2, -1, 1, 1, 1, 1, -1, 2, 2, 1]
😉	0.25	;-)	:wink:	1.0	1.73205	[1, -2, 1, -2, 1, 4, 2, 1, 2, 2]
😉	0.0772	*-)	:wink:	0.3	1.61555	[1, -3, -2, 2, 1, 1, -1, 2, 1, 1]
😉	0.1531	*)	:wink:	0.6	1.42829	[1, -1, 1, -3, 1, 1, 2, 1, 1, 2]
😉	0.1779	;-]	:wink:	0.7	1.67631	[1, -2, 1, -3, 1, 2, 2, 1, 2, 2]
😉	0.1531	;]	:wink:	0.6	1.11355	[1, -1, 1, 1, 1, 1, -2, 2, 1, 1]
😉	0.2023	;D	:wink:	0.8	1.249	[2, -1, 2, 1, 1, 1, -2, 2, 1, 1]
😉	0.34	;^)	:wink:	1.4	0.91652	[2, 2, 1, 2, 1, 2, -1, 1, 2, 2]
😘	0.5423	:*	:kissing_heart:	2.5	1.0247	[3, 2, 1, 1, 2, 3, 4, 3, 4, 2]
😘	0.4019	:-*	:kissing_heart:	1.7	0.64031	[1, 2, 1, 1, 1, 3, 2, 2, 2, 2]
